combo;rang;type_main
[ 8 10 34 36 49];53;2
[ 8 10 36 47 49];53;2
[10 21 34 36 49];53;2
[10 21 36 47 49];53;2
[10 34 36 47 49];53;2
[ 8 21 23 36 49];53;2
[ 8 23 34 36 49];53;2
[ 8 23 36 47 49];53;2
[21 23 34 36 49];53;2
[21 23 36 47 49];53;2
[10 23 34 47 49];53;2
[ 7 10 23 46 49];54;2
[ 7 10 23 33 49];54;2
[ 7 10 20 23 49];54;2
[10 23 33 36 46];54;2
[10 20 23 33 49];54;2
[10 20 23 33 36];54;2
[ 7 10 23 36 46];54;2
[ 7 10 23 33 36];54;2
[ 7 10 20 23 36];54;2
[10 20 23 36 46];54;2
[10 20 23 46 49];54;2
[23 33 36 46 49];54;2
[ 7 10 20 36 49];54;2
[20 23 36 46 49];54;2
[20 23 33 36 49];54;2
[ 7 23 36 46 49];54;2
[ 7 23 33 36 49];54;2
[ 7 20 23 36 49];54;2
[10 23 33 46 49];54;2
[10 20 36 46 49];54;2
[10 20 33 36 49];54;2
[ 7 10 36 46 49];54;2
[ 7 10 33 36 49];54;2
[10 33 36 46 49];54;2
[10 19 23 45 49];55;2
[ 6 10 23 32 36];55;2
[ 6 10 23 36 45];55;2
[10 19 23 32 36];55;2
[10 19 23 36 45];55;2
[10 23 32 36 45];55;2
[ 6 10 19 23 49];55;2
[ 6 10 23 32 49];55;2
[ 6 10 23 45 49];55;2
[10 19 23 32 49];55;2
[ 6 10 19 23 36];55;2
[10 23 32 45 49];55;2
[ 6 10 32 36 49];55;2
[ 6 10 36 45 49];55;2
[10 19 32 36 49];55;2
[10 19 36 45 49];55;2
[10 32 36 45 49];55;2
[ 6 19 23 36 49];55;2
[ 6 23 32 36 49];55;2
[ 6 23 36 45 49];55;2
[19 23 32 36 49];55;2
[19 23 36 45 49];55;2
[23 32 36 45 49];55;2
[ 6 10 19 36 49];55;2
[ 5 10 23 44 49];56;2
[ 5 10 23 31 49];56;2
[ 5 10 18 23 49];56;2
[10 23 31 36 44];56;2
[10 18 23 31 49];56;2
[10 18 23 31 36];56;2
[ 5 10 23 36 44];56;2
[ 5 10 23 31 36];56;2
[ 5 10 18 23 36];56;2
[10 18 23 36 44];56;2
[10 18 23 44 49];56;2
[23 31 36 44 49];56;2
[ 5 10 18 36 49];56;2
[18 23 36 44 49];56;2
[18 23 31 36 49];56;2
[ 5 23 36 44 49];56;2
[ 5 23 31 36 49];56;2
[ 5 18 23 36 49];56;2
[10 23 31 44 49];56;2
[10 18 36 44 49];56;2
[10 18 31 36 49];56;2
[ 5 10 36 44 49];56;2
[ 5 10 31 36 49];56;2
[10 31 36 44 49];56;2
[10 17 23 30 49];57;2
[ 4 10 17 23 36];57;2
[ 4 10 23 30 36];57;2
[ 4 10 23 36 43];57;2
[10 17 23 30 36];57;2
[10 17 23 36 43];57;2
[10 23 30 36 43];57;2
[ 4 10 17 23 49];57;2
[ 4 10 23 30 49];57;2
[ 4 10 23 43 49];57;2
[10 17 23 43 49];57;2
[10 23 30 43 49];57;2
[ 4 10 17 36 49];57;2
[17 23 36 43 49];57;2
[17 23 30 36 49];57;2
[ 4 23 36 43 49];57;2
[ 4 23 30 36 49];57;2
[ 4 17 23 36 49];57;2
[23 30 36 43 49];57;2
[10 17 36 43 49];57;2
[10 17 30 36 49];57;2
[ 4 10 36 43 49];57;2
[ 4 10 30 36 49];57;2
[10 30 36 43 49];57;2
[10 16 23 29 49];58;2
[ 3 10 16 23 36];58;2
[ 3 10 23 29 36];58;2
[ 3 10 23 36 42];58;2
[10 16 23 29 36];58;2
[10 16 23 36 42];58;2
[10 23 29 36 42];58;2
[ 3 10 16 23 49];58;2
[ 3 10 23 29 49];58;2
[ 3 10 23 42 49];58;2
[10 16 23 42 49];58;2
[23 29 36 42 49];58;2
[ 3 10 16 36 49];58;2
[ 3 10 29 36 49];58;2
[ 3 10 36 42 49];58;2
[10 16 29 36 49];58;2
[10 16 36 42 49];58;2
[10 29 36 42 49];58;2
[ 3 16 23 36 49];58;2
[ 3 23 29 36 49];58;2
[ 3 23 36 42 49];58;2
[16 23 29 36 49];58;2
[16 23 36 42 49];58;2
[10 23 29 42 49];58;2
[ 2 10 23 41 49];59;2
[ 2 10 23 28 49];59;2
[ 2 10 15 23 49];59;2
[10 23 28 36 41];59;2
[10 15 23 28 49];59;2
[10 15 23 28 36];59;2
[ 2 10 23 36 41];59;2
[ 2 10 23 28 36];59;2
[ 2 10 15 23 36];59;2
[10 15 23 36 41];59;2
[10 15 23 41 49];59;2
[23 28 36 41 49];59;2
[ 2 10 15 36 49];59;2
[15 23 36 41 49];59;2
[15 23 28 36 49];59;2
[ 2 23 36 41 49];59;2
[ 2 23 28 36 49];59;2
[ 2 15 23 36 49];59;2
[10 23 28 41 49];59;2
[10 15 36 41 49];59;2
[10 15 28 36 49];59;2
[ 2 10 36 41 49];59;2
[ 2 10 28 36 49];59;2
[10 28 36 41 49];59;2
[10 14 23 40 49];60;2
[ 1 10 23 27 36];60;2
[ 1 10 23 36 40];60;2
[10 14 23 27 36];60;2
[10 14 23 36 40];60;2
[10 23 27 36 40];60;2
[ 1 10 14 23 49];60;2
[ 1 10 23 27 49];60;2
[ 1 10 23 40 49];60;2
[10 14 23 27 49];60;2
[ 1 10 14 23 36];60;2
[10 23 27 40 49];60;2
[ 1 10 27 36 49];60;2
[ 1 10 36 40 49];60;2
